9_3,CA,VS,10
9_3,CA,TP,190
9_3,CA,FP,174
9_3,CA,FN,1289
9_3,CA,OL,0.12846517917511832
9_3,CA,OR_pct_vs,0.47802197802197804
9_3,CA,OR_pct_gt,0.11764705882352941
9_3,CA,f1,0.20618556701030927
9_3,CA,endpoints_OL,0
9_3,CA,endpoints_OR,12
9_3,CC,VS,115844
9_3,CC,TP,144138
9_3,CC,FP,145234
9_3,CC,FN,60797
9_3,CC,OL,0.7033352038451216
9_3,CC,OR_pct_vs,0.5018937561339729
9_3,CC,OR_pct_gt,0.7086832410276429
9_3,CC,f1,0.583192226693128
9_3,CC,endpoints_OL,10134
9_3,CC,endpoints_OR,32603
9_3,CP,VS,2
9_3,CP,TP,77
9_3,CP,FP,59
9_3,CP,FN,1531
9_3,CP,OL,0.04788557213930348
9_3,CP,OR_pct_vs,0.4338235294117647
9_3,CP,OR_pct_gt,0.03669154228855721
9_3,CP,f1,0.08830275229357798
9_3,CP,endpoints_OL,0
9_3,CP,endpoints_OR,3
9_3,MCP,VS,18426
9_3,MCP,TP,26913
9_3,MCP,FP,22184
9_3,MCP,FN,8320
9_3,MCP,OL,0.7638577469985525
9_3,MCP,OR_pct_vs,0.45184023463755424
9_3,MCP,OR_pct_gt,0.6296369880509749
9_3,MCP,f1,0.6382781928139452
9_3,MCP,endpoints_OL,2391
9_3,MCP,endpoints_OR,4634
9_3,Fornix,VS,2540
9_3,Fornix,TP,4575
9_3,Fornix,FP,3121
9_3,Fornix,FN,6094
9_3,Fornix,OL,0.4288124472771581
9_3,Fornix,OR_pct_vs,0.40553534303534305
9_3,Fornix,OR_pct_gt,0.2925297591151936
9_3,Fornix,f1,0.49823032943098283
9_3,Fornix,endpoints_OL,472
9_3,Fornix,endpoints_OR,499
9_3,Cingulum_left,VS,12742
9_3,Cingulum_left,TP,18776
9_3,Cingulum_left,FP,17062
9_3,Cingulum_left,FN,23497
9_3,Cingulum_left,OL,0.4441605753081163
9_3,Cingulum_left,OR_pct_vs,0.47608683520285733
9_3,Cingulum_left,OR_pct_gt,0.4036146003359118
9_3,Cingulum_left,f1,0.4807517507137279
9_3,Cingulum_left,endpoints_OL,2182
9_3,Cingulum_left,endpoints_OR,3600
9_3,Cingulum_right,VS,14460
9_3,Cingulum_right,TP,23859
9_3,Cingulum_right,FP,20865
9_3,Cingulum_right,FN,22838
